Family,genus,species
Formicidae,Kalathomyrmex,Kalathomyrmex emeryi
Formicidae,Kempfidris,Kempfidris inusualis
Formicidae,Lathidris,Lathidris melina
Formicidae,Lathidris,Lathidris montivaga
Formicidae,Lathidris,Lathidris rectithorax
Formicidae,Liomyrmex,Liomyrmex gestroi
Formicidae,Loweriella,Loweriella boltoni
Formicidae,Malagidris,Malagidris alperti
Formicidae,Malagidris,Malagidris belti
Formicidae,Malagidris,Malagidris dulcis
Formicidae,Malagidris,Malagidris galokoa
Formicidae,Malagidris,Malagidris jugum
Formicidae,Malagidris,Malagidris sofina
Formicidae,Martialis,Martialis heureka
Formicidae,Megaponera,Megaponera analis
Formicidae,Melissotarsus,Melissotarsus beccarii
Formicidae,Melissotarsus,Melissotarsus emeryi
Formicidae,Melissotarsus,Melissotarsus insularis
Formicidae,Melissotarsus,Melissotarsus weissi
Formicidae,Metalasius,Metalasius myrmidon
Formicidae,Myopopone,Myopopone castanea
Formicidae,Myrcidris,Myrcidris epicharis
Formicidae,Nebothriomyrmex,Nebothriomyrmex majeri
Formicidae,Neocerapachys,Neocerapachys neotropicus
Formicidae,Neocerapachys,Neocerapachys splendens
Formicidae,Nomamyrmex,Nomamyrmex esenbeckii
Formicidae,Nomamyrmex,Nomamyrmex hartigii
Formicidae,Nothomyrmecia,Nothomyrmecia macrops
Formicidae,Novomessor,Novomessor albisetosus
Formicidae,Novomessor,Novomessor cockerelli
Formicidae,Novomessor,Novomessor ensifer
Formicidae,Ochetomyrmex,Ochetomyrmex neopolitus
Formicidae,Ochetomyrmex,Ochetomyrmex semipolitus
Formicidae,Odontoponera,Odontoponera denticulata
Formicidae,Odontoponera,Odontoponera transversa
Formicidae,Opamyrma,Opamyrma hungvuong
Formicidae,Paltothyreus,Paltothyreus tarsatus
Formicidae,Paramycetophylax,Paramycetophylax bruchi
Formicidae,Paraponera,Paraponera clavata
Formicidae,Petalomyrmex,Petalomyrmex phylax
Formicidae,Phalacromyrmex,Phalacromyrmex fugax
Formicidae,Phrynoponera,Phrynoponera bequaerti
Formicidae,Phrynoponera,Phrynoponera gabonensis
Formicidae,Phrynoponera,Phrynoponera pulchella
Formicidae,Phrynoponera,Phrynoponera sveni
Formicidae,Phrynoponera,Phrynoponera transversa
Formicidae,Pilotrochus,Pilotrochus besmerus
Formicidae,Proatta,Proatta butteli
Formicidae,Promyopias,Promyopias silvestrii
Formicidae,Propodilobus,Propodilobus pingorum
Formicidae,Pseudoponera,Pseudoponera cognata
Formicidae,Pseudoponera,Pseudoponera gilberti
Formicidae,Pseudoponera,Pseudoponera gilloglyi
Formicidae,Pseudoponera,Pseudoponera stigma
Formicidae,Pseudoponera,Pseudoponera succedanea
Formicidae,Ravavy,Ravavy miafina
Formicidae,Retalimyrma,Retalimyrma wroughtonii
Formicidae,Rostromyrmex,Rostromyrmex pasohensis
Formicidae,Santschiella,Santschiella kohli
Formicidae,Sritoponera,Sritoponera suspecta
Formicidae,Subiridopone,Subiridopone subiridescens
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 brevicornis
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 laevigatus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 lentus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 ocellatus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 rudis
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 stipulosus
Formicidae,TACTTMPAcanthognathus_Neotropical01,TACTTMPAcanthognathus Neotropical01 teledectus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 basispinosus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 careoscrobis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 concavus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 crassispinus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 dusun
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 ferox
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 foveolatus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 glabfemoralis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 humilis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 laevis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 luciolae
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 malikuli
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 mindanao
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 minus
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 mizunoi
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 notabilis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 padanensis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 sulawesiensis
Formicidae,TACTTMPAcanthomyrmex_Indomalayan01,TACTTMPAcanthomyrmex Indomalayan01 thailandensis
Formicidae,TACTTMPAcanthoponera_Neotropical01,TACTTMPAcanthoponera Neotropical01 goeldii
Formicidae,TACTTMPAcanthoponera_Neotropical01,TACTTMPAcanthoponera Neotropical01 peruviana
Formicidae,TACTTMPAcanthoponera_Neotropical02,TACTTMPAcanthoponera Neotropical02 mucronata
Formicidae,TACTTMPAcanthoponera_Neotropical03,TACTTMPAcanthoponera Neotropical03 minor
Formicidae,TACTTMPAcanthostichus_Nearctic04,TACTTMPAcanthostichus Nearctic04 arizonensis
Formicidae,TACTTMPAcanthostichus_Nearctic04,TACTTMPAcanthostichus Nearctic04 punctiscapus
Formicidae,TACTTMPAcanthostichus_Nearctic05,TACTTMPAcanthostichus Nearctic05 davisi
Formicidae,TACTTMPAcanthostichus_Nearctic05,TACTTMPAcanthostichus Nearctic05 texanus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 brevinodis
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 femoralis
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 laevigatus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 lattkei
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 longinodis
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 quadratus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 serratulus
Formicidae,TACTTMPAcanthostichus_Neotropical01,TACTTMPAcanthostichus Neotropical01 skwarrae
Formicidae,TACTTMPAcanthostichus_Neotropical02,TACTTMPAcanthostichus Neotropical02 bentoni
Formicidae,TACTTMPAcanthostichus_Neotropical02,TACTTMPAcanthostichus Neotropical02 flexuosus
Formicidae,TACTTMPAcanthostichus_Neotropical02,TACTTMPAcanthostichus Neotropical02 kirbyi
Formicidae,TACTTMPAcanthostichus_Neotropical02,TACTTMPAcanthostichus Neotropical02 quirozi
Formicidae,TACTTMPAcanthostichus_Neotropical03,TACTTMPAcanthostichus Neotropical03 brevicornis
Formicidae,TACTTMPAcanthostichus_Neotropical03,TACTTMPAcanthostichus Neotropical03 concavinodis
Formicidae,TACTTMPAcanthostichus_Neotropical03,TACTTMPAcanthostichus Neotropical03 emmae
Formicidae,TACTTMPAcanthostichus_Neotropical03,TACTTMPAcanthostichus Neotropical03 fuscipennis
Formicidae,TACTTMPAcanthostichus_Neotropical03,TACTTMPAcanthostichus Neotropical03 laticornis
Formicidae,TACTTMPAcanthostichus_Neotropical03,TACTTMPAcanthostichus Neotropical03 sanchezorum
Formicidae,TACTTMPAcanthostichus_Neotropical03,TACTTMPAcanthostichus Neotropical03 truncatus
Formicidae,TACTTMPAcromyrmex_Nearctic11,TACTTMPAcromyrmex Nearctic11 versicolor
Formicidae,TACTTMPAcromyrmex_Neotropical01,TACTTMPAcromyrmex Neotropical01 atrina
Formicidae,TACTTMPAcromyrmex_Neotropical01,TACTTMPAcromyrmex Neotropical01 charruanus
Formicidae,TACTTMPAcromyrmex_Neotropical01,TACTTMPAcromyrmex Neotropical01 diasi
Formicidae,TACTTMPAcromyrmex_Neotropical01,TACTTMPAcromyrmex Neotropical01 fracticornis
Formicidae,TACTTMPAcromyrmex_Neotropical01,TACTTMPAcromyrmex Neotropical01 octospinosus
Formicidae,TACTTMPAcromyrmex_Neotropical01,TACTTMPAcromyrmex Neotropical01 rugosus
Formicidae,TACTTMPAcromyrmex_Neotropical02,TACTTMPAcromyrmex Neotropical02 disciger
Formicidae,TACTTMPAcromyrmex_Neotropical02,TACTTMPAcromyrmex Neotropical02 insinuator
Formicidae,TACTTMPAcromyrmex_Neotropical02,TACTTMPAcromyrmex Neotropical02 nigrosetosus
Formicidae,TACTTMPAcromyrmex_Neotropical02,TACTTMPAcromyrmex Neotropical02 pubescens
Formicidae,TACTTMPAcromyrmex_Neotropical03,TACTTMPAcromyrmex Neotropical03 biscutatus
Formicidae,TACTTMPAcromyrmex_Neotropical03,TACTTMPAcromyrmex Neotropical03 lundii
Formicidae,TACTTMPAcromyrmex_Neotropical03,TACTTMPAcromyrmex Neotropical03 pulvereus
Formicidae,TACTTMPAcromyrmex_Neotropical04,TACTTMPAcromyrmex Neotropical04 heyeri
Formicidae,TACTTMPAcromyrmex_Neotropical05,TACTTMPAcromyrmex Neotropical05 ambiguus
Formicidae,TACTTMPAcromyrmex_Neotropical05,TACTTMPAcromyrmex Neotropical05 fowleri
Formicidae,TACTTMPAcromyrmex_Neotropical05,TACTTMPAcromyrmex Neotropical05 molestans
Formicidae,TACTTMPAcromyrmex_Neotropical05,TACTTMPAcromyrmex Neotropical05 subterraneus
Formicidae,TACTTMPAcromyrmex_Neotropical06,TACTTMPAcromyrmex Neotropical06 crassispinus
Formicidae,TACTTMPAcromyrmex_Neotropical06,TACTTMPAcromyrmex Neotropical06 evenkul
Formicidae,TACTTMPAcromyrmex_Neotropical06,TACTTMPAcromyrmex Neotropical06 hispidus
Formicidae,TACTTMPAcromyrmex_Neotropical08,TACTTMPAcromyrmex Neotropical08 ameliae
Formicidae,TACTTMPAcromyrmex_Neotropical08,TACTTMPAcromyrmex Neotropical08 aspersus
Formicidae,TACTTMPAcromyrmex_Neotropical08,TACTTMPAcromyrmex Neotropical08 santschii
Formicidae,TACTTMPAcromyrmex_Neotropical09,TACTTMPAcromyrmex Neotropical09 landolti
Formicidae,TACTTMPAcromyrmex_Neotropical09,TACTTMPAcromyrmex Neotropical09 laticeps
Formicidae,TACTTMPAcromyrmex_Neotropical09,TACTTMPAcromyrmex Neotropical09 niger
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 balzani
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 hystrix
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 lobicornis
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 nobilis
Formicidae,TACTTMPAcromyrmex_Unknown07,TACTTMPAcromyrmex Unknown07 coronatus
Formicidae,TACTTMPAcropyga_Nearctic01,TACTTMPAcropyga Nearctic01 aranyani
Formicidae,TACTTMPAcropyga_Nearctic01,TACTTMPAcropyga Nearctic01 bakwele
Formicidae,TACTTMPAcropyga_Nearctic01,TACTTMPAcropyga Nearctic01 epedana
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 ambigua
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 decedens
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 exsanguis
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 kinomurai
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 oreithauma
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 yaeyamensis
Formicidae,TACTTMPAcropyga_Neotropical03,TACTTMPAcropyga Neotropical03 dubitata
Formicidae,TACTTMPAcropyga_Neotropical03,TACTTMPAcropyga Neotropical03 yushi
Formicidae,TACTTMPAcropyga_Neotropical04,TACTTMPAcropyga Neotropical04 hirsutula
Formicidae,TACTTMPAcropyga_Neotropical04,TACTTMPAcropyga Neotropical04 manuense
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 myops
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 parvidens
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 romeo
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 rubescens
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 tricuspis
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 goeldii
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 hystrix
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 inezae
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 smithii
Formicidae,TACTTMPAcropyga_Neotropical07,TACTTMPAcropyga Neotropical07 acutiventris
Formicidae,TACTTMPAcropyga_Neotropical07,TACTTMPAcropyga Neotropical07 arnoldi
Formicidae,TACTTMPAcropyga_Neotropical07,TACTTMPAcropyga Neotropical07 fuhrmanni
Formicidae,TACTTMPAcropyga_Neotropical08,TACTTMPAcropyga Neotropical08 nipponensis
Formicidae,TACTTMPAcropyga_Neotropical08,TACTTMPAcropyga Neotropical08 paleartica
Formicidae,TACTTMPAcropyga_Neotropical08,TACTTMPAcropyga Neotropical08 stenotes
Formicidae,TACTTMPAcropyga_Neotropical09,TACTTMPAcropyga Neotropical09 dubia
Formicidae,TACTTMPAcropyga_Neotropical09,TACTTMPAcropyga Neotropical09 gelasis
Formicidae,TACTTMPAcropyga_Neotropical09,TACTTMPAcropyga Neotropical09 guianensis
Formicidae,TACTTMPAcropyga_Neotropical10,TACTTMPAcropyga Neotropical10 lauta
Formicidae,TACTTMPAcropyga_Neotropical10,TACTTMPAcropyga Neotropical10 major
Formicidae,TACTTMPAcropyga_Neotropical10,TACTTMPAcropyga Neotropical10 oceanica
Formicidae,TACTTMPAcropyga_Neotropical10,TACTTMPAcropyga Neotropical10 panamensis
Formicidae,TACTTMPAcropyga_Neotropical10,TACTTMPAcropyga Neotropical10 silvestrii
Formicidae,TACTTMPAcropyga_Neotropical11,TACTTMPAcropyga Neotropical11 donisthorpei
Formicidae,TACTTMPAcropyga_Neotropical11,TACTTMPAcropyga Neotropical11 keira
Formicidae,TACTTMPAcropyga_Neotropical11,TACTTMPAcropyga Neotropical11 palaga
Formicidae,TACTTMPAcropyga_Neotropical11,TACTTMPAcropyga Neotropical11 sauteri
Formicidae,TACTTMPAcropyga_Neotropical12,TACTTMPAcropyga Neotropical12 ayanganna
Formicidae,TACTTMPAcropyga_Neotropical12,TACTTMPAcropyga Neotropical12 butteli
Formicidae,TACTTMPAcropyga_Neotropical12,TACTTMPAcropyga Neotropical12 pallida
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 anxiocalor
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 betoi
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 biroi
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 bispeculum
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 brenesi
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 coco
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 costatus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 cristiani
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 dentivagans
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 dorae
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 foveolatus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 grandis
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 hirsutus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 laevigatus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 longinoi
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 mackayi
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 marginodus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 metzabok
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 micans
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 microps
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 minimus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 myops
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 nortenyo
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 paratristani
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 quetzal
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 robustus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 samoanus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 silvestrii
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 striatus
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 tristani
Formicidae,TACTTMPAdelomyrmex_Neotropical01,TACTTMPAdelomyrmex Neotropical01 vaderi
Formicidae,TACTTMPAdetomyrma_Afrotropical01,TACTTMPAdetomyrma Afrotropical01 venatrix
Formicidae,TACTTMPAdetomyrma_Afrotropical02,TACTTMPAdetomyrma Afrotropical02 aureocuprea
Formicidae,TACTTMPAdetomyrma_Afrotropical03,TACTTMPAdetomyrma Afrotropical03 caudapinniger
Formicidae,TACTTMPAdetomyrma_Afrotropical03,TACTTMPAdetomyrma Afrotropical03 clarivida
Formicidae,TACTTMPAdetomyrma_Afrotropical04,TACTTMPAdetomyrma Afrotropical04 cilium
Formicidae,TACTTMPAdetomyrma_Afrotropical05,TACTTMPAdetomyrma Afrotropical05 caputleae
Formicidae,TACTTMPAdetomyrma_Afrotropical06,TACTTMPAdetomyrma Afrotropical06 cassis
Formicidae,TACTTMPAdetomyrma_Afrotropical07,TACTTMPAdetomyrma Afrotropical07 bressleri
Formicidae,TACTTMPAdetomyrma_Afrotropical08,TACTTMPAdetomyrma Afrotropical08 goblin
Formicidae,TACTTMPAenictogiton_Unknown01,TACTTMPAenictogiton Unknown01 elongatus
Formicidae,TACTTMPAenictogiton_Unknown01,TACTTMPAenictogiton Unknown01 schoutedeni
Formicidae,TACTTMPAenictogiton_Unknown01,TACTTMPAenictogiton Unknown01 ZM02
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 attenuatus
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 bequaerti
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 emeryi
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 fossiceps
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 sulcatus
Formicidae,TACTTMPAenictogiton_Unknown02,TACTTMPAenictogiton Unknown02 UG
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 alluaudi
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 asperivalvus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 brutus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 congolensis
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 crucifer
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 foreli
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 furculatus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 guineensis
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 inconspicuus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 jacki
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 luteus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 mentu
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 nyuyi
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 raptor
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 rixator
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 rotundatus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 soudanicus
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 ugaduwensis
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 villiersi
Formicidae,TACTTMPAenictus_Afrotropical01,TACTTMPAenictus Afrotropical01 xegi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 anceps
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 asantei
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 bayoni
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 boltoni
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 bottegoi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 buttgenbachi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 eugenii
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 fuscovarius
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 hamifer
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 hitai
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 humeralis
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 koloi
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 mariae
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 moebii
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 mutatus
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 mvuvii
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 pharao
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 popeyei
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 steindachneri
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 susanae
Formicidae,TACTTMPAenictus_Afrotropical02,TACTTMPAenictus Afrotropical02 togoensis
